advisor_id,user_id,student_id,phone,address,concentration_code,gpa,birthdate,enrollment_status,academic_standing,start_date,expected_graduation_date,total_credits_earned,interests,advisor_email2,student_email
35,1,1001111973,338-773-9251,"921 Gonzalez Landing, East Jonathanside, WA 73891",S9501,2.37,2005-06-13,enrolled,,2024-02-20T14:08:26.096,2028-02-19T14:08:26.097,77,"[""player"", ""race"", ""response"", ""early"", ""stage"", ""attorney""]",jaimewilcox@cybel.com,deborahlowery@cybel.com
36,2,1001105009,338-773-9268,"93357 Sanchez Falls Suite 007, Ramosmouth, DE 38052",S9501,3.55,2004-02-05,enrolled,Probation,2024-02-20T14:08:26.096,2028-02-19T14:08:26.097,104,"[""ask"", ""cause"", ""near""]",victoriamorrow@cybel.com,samuelvalentine@cybel.com
34,3,1001154537,338-773-9266,"30557 Bryant Squares, Carolynport, AR 25164",S9501,2.87,2004-05-25,enrolled,,2024-02-20T14:08:26.096,2028-02-19T14:08:26.097,80,"[""together"", ""choice"", ""ask"", ""personal"", ""quite"", ""program"", ""room""]",christianparks@cybel.com,nicoledudley@cybel.com
33,4,1001119609,338-773-9249,"9028 Rhodes Inlet, Blakeview, SC 34173",S9501,3.88,2004-08-14,enrolled,Probation,2024-02-20T14:08:26.096,2028-02-19T14:08:26.097,1,"[""thought"", ""offer"", ""despite"", ""car"", ""let"", ""unit"", ""open"", ""fire"", ""reason""]",johnrichardson@cybel.com,davidlynn@cybel.com
33,5,1001130212,338-773-9265,"50857 Davis Greens Suite 259, East Melvin, MO 83566",S9501,2,2004-02-26,enrolled,Good Standing,2024-02-20T14:08:26.096,2028-02-19T14:08:26.097,118,"[""bank"", ""trip"", ""since"", ""ten"", ""speech""]",rhondajohnson@cybel.com,michellesolomon@cybel.com
33,6,1001149738,338-773-9257,"8247 Contreras Brooks Suite 465, West Stephanieport, TN 73530",S9501,2.93,2002-10-21,enrolled,Probation,2024-02-20T14:08:26.096,2028-02-19T14:08:26.097,34,"[""collection"", ""article"", ""under"", ""protect"", ""effect"", ""energy"", ""economic""]",michaelblair@cybel.com,jessicacruz@cybel.com
35,7,1001165102,338-773-9263,"2770 Suzanne Trafficway Suite 217, Suttonbury, FL 34816",S9501,3.8,2006-01-09,enrolled,,2024-02-20T14:08:26.096,2028-02-19T14:08:26.097,34,"[""third"", ""perform"", ""bar"", ""month"", ""myself"", ""nothing"", ""consider""]",shirleymcmillan@cybel.com,matthewmcbride@cybel.com
35,8,1001151951,338-773-9259,"474 Jackson Inlet, Rebeccaside, MS 26620",S9501,2.92,2002-07-02,enrolled,Good Standing,2024-02-20T14:08:26.096,2028-02-19T14:08:26.097,40,"[""school"", ""reason"", ""economic"", ""hard"", ""new"", ""since"", ""but"", ""I""]",justintate@cybel.com,justindixon@cybel.com
33,9,1001174037,338-773-9253,"2110 Ryan Parkway Suite 698, Michaelborough, MT 92900",S9501,3,2005-11-10,enrolled,,2024-02-20T14:08:26.096,2028-02-19T14:08:26.097,18,"[""growth"", ""beautiful"", ""government"", ""work"", ""those""]",albertmartinez@cybel.com,gregoryward@cybel.com
35,10,1001135666,338-773-9243,"81301 Richardson Street, South Angie, ID 14885",S9501,2.2,2005-08-24,enrolled,,2024-02-20T14:08:26.096,2028-02-19T14:08:26.097,75,"[""sister"", ""general"", ""bill"", ""security"", ""official"", ""ask""]",jaimewilcox@cybel.com,amandanorris@cybel.com
36,11,1001114625,338-773-9260,"137 Thomas Meadow Suite 590, New Tammy, CA 54959",S9501,2.45,2005-12-20,enrolled,Probation,2024-02-20T14:08:26.096,2028-02-19T14:08:26.097,38,"[""agree"", ""popular"", ""list"", ""control"", ""maybe"", ""against"", ""employee"", ""his""]",michaelturner@cybel.com,kathleenwarren@cybel.com
